1.1111962	1.3126184	1.5955218e-06
1.1113154	1.3126169	2.6355921e-07
1.1114346	1.3126147	6.7286469e-07
1.1115538	1.3126131	1.4104870e-06
1.1116730	1.3126113	9.5383033e-07
1.1117923	1.3126096	1.8290463e-06
1.1119116	1.3126082	1.8479407e-06
1.1120309	1.3126069	2.3050173e-06
1.1121503	1.3126057	1.8580041e-06
1.1122696	1.3126039	7.3651364e-07
1.1123890	1.3126019	9.5771021e-07
1.1125085	1.3126000	5.1635755e-07
1.1126279	1.3125978	5.4226323e-07
1.1127474	1.3125958	7.6942307e-07
1.1128669	1.3125942	1.6483815e-06
1.1129864	1.3125927	9.9582483e-07
1.1131059	1.3125909	1.2270673e-06
1.1132255	1.3125892	9.1626971e-07
1.1133451	1.3125874	1.0435062e-06
1.1134648	1.3125857	9.8664528e-07
1.1135844	1.3125841	9.0458848e-07
1.1137041	1.3125820	1.9462469e-08
1.1138238	1.3125799	6.1420536e-07
1.1139435	1.3125780	4.1427513e-07
1.1140633	1.3125763	1.1092163e-06
1.1141831	1.3125746	4.1865377e-07
1.1143029	1.3125725	3.9774399e-07
1.1144227	1.3125706	6.9343537e-07
1.1145426	1.3125688	6.4521563e-07
1.1146625	1.3125668	7.5896681e-07
1.1147824	1.3125649	9.2955178e-07
1.1149023	1.3125634	1.8121781e-06
1.1150223	1.3125617	6.8953349e-07
1.1151423	1.3125597	1.3841448e-06
1.1152623	1.3125581	1.5320415e-06
1.1153823	1.3125565	1.6569050e-06
1.1155024	1.3125548	1.5347758e-06
1.1156225	1.3125533	1.6710891e-06
1.1157426	1.3125514	7.6374543e-07
1.1158627	1.3125495	1.4003248e-06
1.1159829	1.3125477	8.3681860e-07
1.1161031	1.3125459	1.3881411e-06
1.1162233	1.3125442	8.5146633e-07
1.1163436	1.3125422	9.6107883e-07
1.1164638	1.3125406	1.3993230e-06
1.1165841	1.3125390	7.9459689e-07
1.1167045	1.3125368	8.6407433e-08
1.1168248	1.3125350	1.4515553e-06
1.1169452	1.3125335	6.9811786e-07
1.1170656	1.3125315	1.0596902e-08
1.1171860	1.3125291	1.0598045e-08
1.1173065	1.3125271	9.1738248e-07
1.1174270	1.3125256	1.1857487e-06
1.1175475	1.3125238	6.1753005e-07
1.1176680	1.3125221	1.3622019e-06
1.1177886	1.3125205	5.3096245e-07
1.1179091	1.3125183	3.7947395e-08
1.1180298	1.3125161	5.9870959e-07
1.1181504	1.3125143	9.7749732e-07
1.1182711	1.3125127	1.2581568e-06
1.1183917	1.3125109	6.8474504e-07
1.1185125	1.3125091	1.1018840e-06
1.1186332	1.3125071	5.5215237e-07
1.1187540	1.3125053	1.4479785e-06
1.1188748	1.3125034	5.0889089e-07
1.1189956	1.3125017	2.1278982e-06
1.1191164	1.3125002	8.1645604e-07
1.1192373	1.3124982	1.5485006e-06
1.1193582	1.3124970	1.9007294e-06
1.1194791	1.3124953	4.5834785e-07
1.1196001	1.3124930	3.7156619e-07
1.1197210	1.3124910	6.5745112e-07
1.1198421	1.3124892	6.1950941e-07
1.1199631	1.3124871	8.8099633e-08
1.1200841	1.3124850	8.4407158e-07
1.1202052	1.3124833	9.7154217e-07
1.1203263	1.3124817	1.0188969e-06
1.1204475	1.3124800	9.3659366e-07
1.1205686	1.3124780	1.0630133e-08
1.1206898	1.3124758	6.4611422e-07
1.1208110	1.3124740	7.0087102e-07
1.1209322	1.3124721	4.6835503e-07
1.1210535	1.3124697	1.0808337e-07
1.1211748	1.3124677	1.4300739e-06
1.1212961	1.3124662	1.8364410e-06
1.1214175	1.3124650	2.4478064e-06
1.1215388	1.3124636	1.3290615e-06
1.1216602	1.3124617	1.3094361e-06
1.1217817	1.3124597	8.4423440e-07
1.1219031	1.3124577	1.0167867e-06
1.1220246	1.3124559	1.0743648e-06
1.1221461	1.3124540	9.1022362e-07
1.1222676	1.3124522	1.2917814e-06
1.1223892	1.3124506	1.1329937e-06
1.1225107	1.3124486	3.7764375e-07
1.1226323	1.3124464	4.4256171e-07
1.1227540	1.3124444	8.9307126e-07
1.1228756	1.3124427	1.2321044e-06
1.1229973	1.3124410	1.0530405e-06
1.1231190	1.3124392	1.0526645e-06
1.1232408	1.3124372	4.6426524e-07
1.1233625	1.3124352	9.1445697e-07
1.1234843	1.3124332	6.4879693e-07
1.1236061	1.3124314	1.4458177e-06
1.1237280	1.3124296	8.2355641e-07
1.1238499	1.3124278	1.2175416e-06
1.1239717	1.3124259	8.6013346e-07
1.1240937	1.3124238	1.0137760e-06
1.1242156	1.3124220	1.4167505e-06
1.1243376	1.3124205	1.6350009e-06
1.1244596	1.3124187	9.8670700e-07
1.1245816	1.3124165	1.0130247e-06
1.1247037	1.3124149	1.8377801e-06
1.1248258	1.3124132	9.9591865e-07
1.1249479	1.3124113	1.5568321e-06
1.1250700	1.3124097	1.0972707e-06
1.1251922	1.3124074	1.5202204e-07
1.1253144	1.3124051	1.0073145e-06
1.1254366	1.3124035	1.7359546e-06
1.1255588	1.3124022	1.6020433e-06
1.1256811	1.3124003	4.9394274e-07
1.1258034	1.3123981	8.1193083e-07
1.1259257	1.3123961	7.6119035e-07
1.1260480	1.3123941	6.9399847e-07
1.1261704	1.3123920	6.9767478e-07
1.1262928	1.3123900	9.8389178e-07
1.1264152	1.3123881	1.3517381e-06
1.1265377	1.3123864	1.3954147e-06
1.1266602	1.3123843	8.3165004e-07
1.1267827	1.3123822	2.1063817e-06
1.1269052	1.3123809	2.6693777e-06
1.1270278	1.3123798	2.5459580e-06
1.1271504	1.3123783	1.8401686e-06
